Unnamed: 0,性別,年齡,表情,Unnamed: 4,productName,productURL,tempTcode,time(s)
,0,3,6,,【德國WMF】Steak Profi 牛排專用陶瓷平底煎鍋 24cm(德國製)-momo購物網,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9746953&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E7%89%9B%E6%8E%92,9,31
,0,2,4,,【永信藥品】健康優見活力B群糖衣錠升級版x12瓶(30粒/瓶)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6971611&str_category_code=1201400304&ctype=B&Area=DgrpCategory&sourcePageType=4,3,56
,0,2,3,,【Zmi 紫米】QB818 10000mAh 30W PD QC 雙向快充Mini行動電源(紫霞/影黑)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9192067&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90%09,0,30
,0,2,3,,【YOMIX 優迷】P-Mag01 10000mAh 20W快充自帶線Magsafe行動電源(無線磁吸/隱藏支架)-momo購物網,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11266144&str_category_code=4201400130&sourcePageType=4,0,30
,0,2,6,,【Apple】iPhone 15 Pro Max(256G/6.7吋)(33W雙孔閃充組)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11857489&Area=search&mdiv=403&oid=1_28&cid=index&kw=iphone15,0,74
,0,3,6,,【漢克嚴選】紐西蘭PS雪花沙朗牛排_20片組(100g±10％/片)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6440363&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%89%9B%E6%8E%92,3,25
,0,2,0,,【Apple】iPhone 15 Pro(1TB/6.1吋)(迪士尼授權三合一無線充電座組)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11937619&Area=search&mdiv=403&oid=1_26&cid=index&kw=iphone15,0,66
,1,2,6,,好自在雙11限定超殺組 買6送6 液體衛生棉12入(24cm/27cm/34cm 100片+清新浄味款24cm/27cm/31.7cm 18片)  -momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11659509&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E8%A1%9B%E7%94%9F%E6%A3%89,2,43
,1,2,6,,好自在-嘗鮮推薦 液體衛生棉6入組(24cm/27cm/34cm x 50片+幻彩液體衛生棉 24cm/27cm/31.7cm x 9片) -momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10576024&cid=recitri&oid=BfG&mdiv=goodsDetail_momoshop-av-&ctype=B&recomd_id=rgc-8r3h_normal_1699309689_47074819,2,22
,1,2,3,,Laurier 蕾妮亞 零觸感特薄衛生棉 夜用型衛生棉 超值量販3包/組(30cm/35cm/40cm) -momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7497702&recomd_id=hotSale&cid=recitri&oid=BfG&mdiv=&ctype=B,2,15
,1,4,6,,Laurier 蕾妮亞 極吸好眠 大流量超特長護邊夜用衛生棉(40cmX8片/包) -momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6038483&cid=recitri&oid=BfG&mdiv=goodsDetail_momoshop-av-&ctype=B&recomd_id=rgc-f54w_normal_1699309742_12976417,2,65
,0,2,3,,【Apple】C級福利品 iPhone 6S 16G-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10647578&str_category_code=1905200011&sourcePageType=4,0,74
,0,2,6,,【Apple】A級福利品 iPhone SE3 256G 4.7吋(贈送手機保護套+鋼化保護貼+原廠充電器)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11106182&cid=recitri&oid=BfD&mdiv=category_momoshop-cap_p0-&ctype=B&recomd_id=rgc-m9pg_normal_1697547111_7312385,0,35
,0,3,0,,【Apple】A級福利品 iPhone 12 128G 6.1吋(贈充電組+玻璃貼+保護殼+更換電池優惠券)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11812815&cid=cheap&oid=1&mdiv=1000000000-bt_0_238_01-bt_0_238_01_e6&ctype=B,0,23
,1,6,6,,【Apple】A級福利品 iPhone SE2 128G 4.7吋(贈送手機保護套+鋼化保護貼+原廠充電器)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9560473&cid=recitri&oid=BfG&mdiv=goodsDetail_momoshop-av-&ctype=B&recomd_id=rgc-m9pg_normal_1697547126_7312833,0,10
,0,3,3,,【Global Fresh-盛花園】鬆綿清甜日本種栗子南瓜(800g/粒 3粒/箱)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8957883&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E5%8D%97%E7%93%9C,3,54
,0,2,3,,【MSI 微星】15.6吋R7輕薄筆電(Modern 15/R7-7730U/8G/512G SSD/W11/057TW)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11300652&mdiv=1099900000-bt_0_253_01-bt_0_253_01_P1_7_e1&ctype=B,0,33
,0,2,6,,【Apple】B級福利品 iPhone 7 Plus 128G 5.5吋(贈充電組+玻璃貼+保護殼)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11854135&Area=search&mdiv=403&oid=1_3&cid=index&kw=iphone%207%20plus,0,22
,0,4,3,,【漢堡王】買一送一★花生培根脆雞堡-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9423907&oid=mb&mdiv=1000000000-bt_0_273_01-bt_0_273_01_e50&ctype=B&rec_pos=1pp_s3&recomd_id=rgc-tk7m_normal_1697548834_29908069,10,76
,0,2,6,,【Apple】A級福利品 iPad Air 第5代(10.9吋/WiFi/64GB)-momo購物網 - 好評推薦 - 2023年10月,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10860689&Area=search&mdiv=403&oid=1_24&cid=index&kw=ipad%20air%205,0,44
